Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence
AEL,DT,AWE,56,博覽館,AsiaWorld-Expo,1
AEL,DT,AIR,47,機場,Airport,2
AEL,DT,TSY,46,青衣,Tsing Yi,3
AEL,DT,KOW,45,九龍,Kowloon,4
AEL,DT,HOK,44,香港,Hong Kong,5
AEL,UT,HOK,44,香港,Hong Kong,1
AEL,UT,KOW,45,九龍,Kowloon,2
AEL,UT,TSY,46,青衣,Tsing Yi,3
AEL,UT,AIR,47,機場,Airport,4
AEL,UT,AWE,56,博覽館,AsiaWorld-Expo,5
DRL,DT,SUN,54,欣澳,Sunny Bay,1
DRL,DT,DIS,55,迪士尼,Disneyland Resort,2
DRL,UT,DIS,55,迪士尼,Disneyland Resort,1
DRL,UT,SUN,54,欣澳,Sunny Bay,2
EAL,DT,LOW,76,羅湖,Lo Wu,1
EAL,DT,SHS,75,上水,Sheung Shui,2
EAL,DT,FAN,74,粉嶺,Fanling,3
EAL,DT,TWO,73,太和,Tai Wo,4
EAL,DT,TAP,72,大埔墟,Tai Po Market,5
EAL,DT,UNI,71,大學,University,6
EAL,DT,FOT,69,火炭,Fo Tan,7
EAL,DT,SHT,68,沙田,Sha Tin,8
EAL,DT,TAW,67,大圍,Tai Wai,9
EAL,DT,KOT,8,九龍塘,Kowloon Tong,10
EAL,DT,MKK,65,旺角東,Mong Kok East,11
EAL,DT,HUH,64,紅磡,Hung Hom,12
EAL,DT,EXC,94,會展,Exhibition Centre,13
EAL,DT,ADM,2,金鐘,Admiralty,14
EAL,LMC-DT,LMC,78,落馬洲,Lok Ma Chau,1
EAL,LMC-DT,SHS,75,上水,Sheung Shui,2
EAL,LMC-DT,FAN,74,粉嶺,Fanling,3
EAL,LMC-DT,TWO,73,太和,Tai Wo,4
EAL,LMC-DT,TAP,72,大埔墟,Tai Po Market,5
EAL,LMC-DT,UNI,71,大學,University,6
EAL,LMC-DT,FOT,69,火炭,Fo Tan,7
EAL,LMC-DT,SHT,68,沙田,Sha Tin,8
EAL,LMC-DT,TAW,67,大圍,Tai Wai,9
EAL,LMC-DT,KOT,8,九龍塘,Kowloon Tong,10
EAL,LMC-DT,MKK,65,旺角東,Mong Kok East,11
EAL,LMC-DT,HUH,64,紅磡,Hung Hom,12
EAL,LMC-DT,EXC,94,會展,Exhibition Centre,13
EAL,LMC-DT,ADM,2,金鐘,Admiralty,14
