SRC_Station_Name,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE
Central,1,Central,1,0,0,0,0,0,0,0,0
Central,1,Admiralty,2,4.7,3,5,3,2,2,3.5,3.5
Central,1,Tsim Sha Tsui,3,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Central,1,Jordan,4,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Central,1,Yau Ma Tei,5,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Mong Kok,6,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Shek Kip Mei,7,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Kowloon Tong,8,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Lok Fu,9,14.9,7,15,7,2,2,7.5,7.5
Central,1,Wong Tai Sin,10,14.9,7,15,7,2,2,7.5,7.5
Central,1,Diamond Hill,11,14.9,7,15,7,2,2,7.5,7.5
Central,1,Choi Hung,12,14.9,7,15,7,2,2,7.5,7.5
Central,1,Kowloon Bay,13,14.9,7,15,7,2,2,7.5,7.5
Central,1,Ngau Tau Kok,14,14.9,7,15,7,2,2,7.5,7.5
Central,1,Kwun Tong,15,14.9,7,15,7,2,2,7.5,7.5
Central,1,Prince Edward,16,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Sham Shui Po,17,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Cheung Sha Wan,18,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Lai Chi Kok,19,14.9,7,15,7,2,2,7.5,7.5
Central,1,Mei Foo,20,14.9,7,15,7,2,2,7.5,7.5
Central,1,Lai King,21,14.9,7,15,7,2,2,7.5,7.5
Central,1,Kwai Fong,22,14.9,7,15,7,2,2,7.5,7.5
Central,1,Kwai Hing,23,14.9,7,15,7,2,2,7.5,7.5
